X,Y,record_id,record_status_date,parcel_id,lon,lat,ObjectId,address_id,street_num,street_dir,street_name
-82.946167,42.371777,ANN2003-00002,2022/07/28 00:00:00+00,21000354-5,-82.946167,42.371777,1,332207,14200,E,JEFFERSON
,,ANN2004-05054,2022/04/27 00:00:00+00,,,,2,,13832,,JOS CAMPAU
-83.139729,42.381558,ANN2005-01363,2019/06/03 00:00:00+00,16018094-100,-83.139729,42.381558,3,76959,12603,,LIVERNOIS
-83.210344,42.372682,ANN2003-00017,2021/08/23 00:00:00+00,22005838-44,-83.210344,42.372682,4,216401,16650,,PLYMOUTH
-83.094889,42.320896,ANN2004-05077,2019/01/15 00:00:00+00,14000362-4,-83.094889,42.320896,5,349244,4242,W,VERNOR
-83.138604,42.375131,ANN2005-01382,2022/11/10 00:00:00+00,16017420.,-83.138604,42.375131,6,74486,11750,,LIVERNOIS
-83.202839,42.394922,ANN2003-00028,2019/05/20 00:00:00+00,22008257.,-83.202839,42.394922,7,129320,15900,W,GRAND RIVER
-83.084596,42.417892,ANN2004-05083,2021/09/15 00:00:00+00,09006631.,-83.084596,42.417892,8,535739,1770,E,MCNICHOLS
-83.170943,42.431045,ANN2005-01386,2022/10/12 00:00:00+00,22015893-5,-83.170943,42.431045,9,21877,12703,W,SEVEN MILE
-83.177558,42.430911,ANN2003-00030,2020/11/16 00:00:00+00,22015951-2,-83.177558,42.430911,10,535339,13327,W,SEVEN MILE
-83.253006,42.428923,ANN2004-05087,2020/01/24 00:00:00+00,22016633-5,-83.253006,42.428923,11,99031,21355,W,SEVEN MILE
-83.276376,42.411397,ANN2003-00036,2022/10/13 00:00:00+00,22122516.,-83.276376,42.411397,12,133013,16730,,TELEGRAPH
-83.056641,42.344995,ANN2005-01415,2021/02/01 00:00:00+00,02001823.,-83.056641,42.344995,13,329263,3157,,WOODWARD
-83.076906,42.418794,ANN2004-05093,2022/10/18 00:00:00+00,09006724-31,-83.076906,42.418794,14,279950,2501,EAST,MCNICHOLS
-83.085089,42.323435,ANN2003-00047,2022/07/07 00:00:00+00,12000251-2,-83.085089,42.323435,15,241484,3400,,BAGLEY
-83.001692,42.427111,ANN2005-01423,2020/10/05 00:00:00+00,21020403.,-83.001692,42.427111,16,226887,11900,,GREINER
-83.12638,42.310764,ANN2004-05100,2019/09/09 00:00:00+00,20005183.,-83.12638,42.310764,17,35724,2134,,SPRINGWELLS
-83.278929,42.428664,ANN2003-00055,2022/11/14 00:00:00+00,22016702-7,-83.278929,42.428664,18,119763,24201,W,SEVEN MILE
-83.050435,42.334889,ANN2005-01431,2020/03/02 00:00:00+00,02000290.,-83.050435,42.334889,19,9826,1514,,WASHINGTON
-83.04333,42.406521,ANN2004-05111,2019/04/03 00:00:00+00,13005458.002,-83.04333,42.406521,20,273693,11311,,MOUND
-83.146195,42.43176,ANN2003-00070,2019/11/26 00:00:00+00,16008820-1,-83.146195,42.43176,21,30545,7420,W,SEVEN MILE
,,ANN2005-01436,2020/01/31 00:00:00+00,,,,22,,3401,,WOODWARD LEGAL
-83.038685,42.408943,ANN2004-05115,2022/10/14 00:00:00+00,13009549-58,-83.038685,42.408943,23,252215,11627,,MT ELLIOTT
-83.085736,42.417639,ANN2005-01444,2020/07/22 00:00:00+00,09006632.002L,-83.085736,42.417639,24,269831,1700,E,MCNICHOLS
-83.263499,42.419257,ANN2003-00089,2020/01/08 00:00:00+00,22007801-2,-83.263499,42.419257,25,112681,22476,W,GRAND RIVER
-82.930861,42.40545,ANN2004-05127,2022/09/29 00:00:00+00,21002271.,-82.930861,42.40545,26,535673,16958,E,WARREN
-83.08612,42.417836,ANN2005-01445,2022/08/16 00:00:00+00,09006633-42,-83.08612,42.417836,27,271596,1640,E,MCNICHOLS
-83.062031,42.418991,ANN2003-00099,2022/07/06 00:00:00+00,13007210-6,-83.062031,42.418991,28,276482,4105,E,MCNICHOLS
-83.054495,42.433147,ANN2004-05142,2019/09/24 00:00:00+00,13008241-3,-83.054495,42.433147,29,294250,4844,E,SEVEN MILE
-83.086597,42.418592,ANN2005-01446,2020/09/30 00:00:00+00,09006646-9,-83.086597,42.418592,30,279535,1617,E,MCNICHOLS
-83.176439,42.416879,ANN2003-00102,2019/04/01 00:00:00+00,22014122.,-83.176439,42.416879,31,66940,13300,W,MCNICHOLS
-83.274556,42.429337,ANN2004-05150,2020/11/10 00:00:00+00,22016805.002,-83.274556,42.429337,32,353294,23700,W,SEVEN MILE
,,ANN2005-01519,2022/11/04 00:00:00+00,,,,33,,3031,W,GRAND BLVD
-83.269298,42.42171,ANN2003-00104,2022/07/19 00:00:00+00,22007788-9,-83.269298,42.42171,34,353279,23350,W,GRAND RIVER
-83.158885,42.391273,ANN2004-05154,2021/04/28 00:00:00+00,16037365.,-83.158885,42.391273,35,215690,14168,,WYOMING
