ID Race,Race,ID Year,Year,ID Poverty Status,Poverty Status,PovertyPopulation,Poverty Population Moe,Geography,ID Geography,Slug Geography,share
1,"White",2014,"2014",0,"Income In The Past 12 Months Below Poverty Level",340477,3896.936617395772,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.44674692471707395
1,"White",2015,"2015",0,"Income In The Past 12 Months Below Poverty Level",336584,3723.0922631597514,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.4439918426141625
1,"White",2013,"2013",0,"Income In The Past 12 Months Below Poverty Level",332482,3875.881706141198,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.4402090874666681
1,"White",2016,"2016",0,"Income In The Past 12 Months Below Poverty Level",326178,3678.572821081567,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.44518723146383943
2,"Black",2013,"2013",0,"Income In The Past 12 Months Below Poverty Level",319240,3648.452959817352,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.4226765631909671
1,"White",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",317583,3734.602254591511,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.448961790967129
2,"Black",2014,"2014",0,"Income In The Past 12 Months Below Poverty Level",317355,3566.76393948352,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.4164080695423979
2,"Black",2015,"2015",0,"Income In The Past 12 Months Below Poverty Level",316715,3475.5278735754655,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.41778241518772274
1,"White",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",310387,3560.6290174630662,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.45227062769749055
2,"Black",2016,"2016",0,"Income In The Past 12 Months Below Poverty Level",302225,3490.3107311527433,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.4124947452898689
1,"White",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",296111,3723.257579056276,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.4486795431851276
2,"Black",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",287682,3426.7481669944764,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.40669124590738676
1,"White",2020,"2020",0,"Income In The Past 12 Months Below Poverty Level",278512,3946.8497564513395,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.44331749556303673
2,"Black",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",274480,3375.6455678877187,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.3999498751249479
2,"Black",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",262469,3501.874355256053,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.39770380370961317
2,"Black",2020,"2020",0,"Income In The Past 12 Months Below Poverty Level",248374,4040.398990198864,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.3953457647892144
9,"Hispanic",2014,"2014",0,"Income In The Past 12 Months Below Poverty Level",45184,1374.925088868481,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.059286862391340005
9,"Hispanic",2013,"2013",0,"Income In The Past 12 Months Below Poverty Level",44996,1377.2860995450437,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.059575099102057244
