X,Y,record_id,issued_date,expire_date,days_til_expiration,address,parcel_id,lat,lon,ObjectId,address_id
-83.186497,42.420938,PMB2019-03232,2020/02/10 00:00:00+00,2024/01/30 00:00:00+00,447,17547 freeland,22036095.,42.420938,-83.186497,1,66501
-83.206064,42.389663,PMB2016-01869,2020/03/05 00:00:00+00,2024/01/31 00:00:00+00,448,14119 ST MARYS,22059177.,42.389663,-83.206064,2,149383
-82.934502,42.363551,PMB2004-24226,2021/06/05 00:00:00+00,2024/02/01 00:00:00+00,449,273 MANISTIQUE,21061828.,42.363551,-82.934502,3,338162
-83.203787,42.44331,PMB2005-14951,2021/06/01 00:00:00+00,2024/02/02 00:00:00+00,450,15810 HESSEL,22055234-43,42.44331,-83.203787,4,544565
-83.082444,42.37929,PMB2021-00219,2021/02/03 00:00:00+00,2024/02/02 00:00:00+00,450,141 GLADSTONE,02001341.,42.37929,-83.082444,5,343270
-83.182339,42.441461,PMB2010-01617,2020/12/07 00:00:00+00,2024/02/03 00:00:00+00,451,20145 TRACEY,22031635-6,42.441461,-83.182339,6,13852
-82.948296,42.411728,PMB2009-03337,2020/11/24 00:00:00+00,2024/02/03 00:00:00+00,451,9281 BEDFORD,21070889.,42.411728,-82.948296,7,296751
,,PMB2003-01044,2021/06/01 00:00:00+00,2024/02/03 00:00:00+00,451,20551 MOTOR DRIVE,,,,8,
-83.216982,42.430983,PMB2020-02028,2020/12/02 00:00:00+00,2024/02/04 00:00:00+00,452,19160 ARCHDALE,22071435.,42.430983,-83.216982,9,78028
-83.054682,42.357799,PMB2004-10311,2020/02/04 00:00:00+00,2024/02/04 00:00:00+00,452,4672 ST. ANTOINE #20,03003240-50,42.357799,-83.054682,10,264248
,,PMB2004-08758,2021/04/23 00:00:00+00,2024/02/04 00:00:00+00,452,2012 PRINCE HALL DRIVE  AKA:  1440,,,,11,
-83.054616,42.356867,PMB2004-09000,2020/02/04 00:00:00+00,2024/02/04 00:00:00+00,452,4600 ST. ANTOINE # 15,03003240-50,42.356867,-83.054616,12,263693
-83.154553,42.357184,PMB2015-00244,2020/02/18 00:00:00+00,2024/02/05 00:00:00+00,453,8535 WISCONSIN,18015413.,42.357184,-83.154553,13,194439
-82.947011,42.412651,PMB2019-02782,2020/02/11 00:00:00+00,2024/02/05 00:00:00+00,453,9348 Courville,21071548.,42.412651,-82.947011,14,296630
-83.075347,42.344284,PMB2020-03097,2021/03/17 00:00:00+00,2024/02/05 00:00:00+00,453,3918 Commonwealth,08005986.002L,42.344284,-83.075347,15,44393
-83.250798,42.418737,PMB2005-17380,2020/02/12 00:00:00+00,2024/02/06 00:00:00+00,454,17370 WESTBROOK,22109855.,42.418737,-83.250798,16,99459
,,PMB2020-01044,2020/07/09 00:00:00+00,2024/02/06 00:00:00+00,454,19303 Marx,,,,17,
-83.214646,42.413358,PMB2017-02168,2020/10/20 00:00:00+00,2024/02/06 00:00:00+00,454,16761 OAKFIELD,22069683.,42.413358,-83.214646,18,144837
-83.024695,42.351643,PMB2004-04893,2021/04/23 00:00:00+00,2024/02/07 00:00:00+00,455,3100 E VERNOR,13000677-708,42.351643,-83.024695,19,316174
-82.926328,42.400284,PMB2011-01723,2020/07/29 00:00:00+00,2024/02/07 00:00:00+00,455,4223 CADIEUX,21075351.,42.400284,-82.926328,20,316687
-82.925321,42.398764,PMB2006-00920,2020/07/29 00:00:00+00,2024/02/07 00:00:00+00,455,3957 CADIEUX,21075365.,42.398764,-82.925321,21,316987
-83.022285,42.352823,PMB2005-17192,2021/04/23 00:00:00+00,2024/02/07 00:00:00+00,455,3310 E. VERNOR,13000713-34,42.352823,-83.022285,22,316285
-83.022671,42.352556,PMB2005-17194,2021/04/23 00:00:00+00,2024/02/07 00:00:00+00,455,3300 E VERNOR,13010418-24,42.352556,-83.022671,23,316255
-82.927276,42.401745,PMB2016-03018,2020/07/13 00:00:00+00,2024/02/07 00:00:00+00,455,4343 CADIEUX,21075337.,42.401745,-82.927276,24,320795
-83.143609,42.425382,PMB2011-04193,2020/02/21 00:00:00+00,2024/02/07 00:00:00+00,455,18267 SANTA ROSA,16020538.,42.425382,-83.143609,25,9104
-82.926198,42.400084,PMB2009-05935,2020/07/29 00:00:00+00,2024/02/07 00:00:00+00,455,4207 CADIEUX,21075353.,42.400084,-82.926198,26,318347
-83.021627,42.347449,PMB2018-04873,2021/04/23 00:00:00+00,2024/02/07 00:00:00+00,455,1440 ROBERT BRADBY DR,13000597-676,42.347449,-83.021627,27,544036
-83.020527,42.353435,PMB2005-17195,2021/04/23 00:00:00+00,2024/02/07 00:00:00+00,455,3380 E. VERNOR,13000713-34,42.353435,-83.020527,28,316347
-83.024197,42.352027,PMB2005-17206,2021/04/23 00:00:00+00,2024/02/07 00:00:00+00,455,3140 E. VERNOR,13000677-708,42.352027,-83.024197,29,316214
-83.021417,42.353085,PMB2005-17193,2021/04/23 00:00:00+00,2024/02/07 00:00:00+00,455,3340 E. VERNOR,13000713-34,42.353085,-83.021417,30,316307
