X,Y,record_id,date_status,parcel_id,lon,lat,ObjectId,street_num,street_dir,street_name,address_id
-83.14524,42.359403,REG2020-00002,2020/01/10 00:00:00+00,16024758-9,-83.14524,42.359403,1,8809,,BRYDEN,199720
-82.991364,42.446366,REG2020-00004,2020/03/18 00:00:00+00,21031264.,-82.991364,42.446366,2,20244,,FAIRPORT,161806
-82.933244,42.427284,REG2020-00005,2020/01/14 00:00:00+00,21080181.,-82.933244,42.427284,3,20300,,MCCORMICK,312970
-82.935639,42.428696,REG2020-00006,2020/03/17 00:00:00+00,21079954.,-82.935639,42.428696,4,20025,,MCCORMICK,307473
-82.995954,42.361127,REG2020-00007,2020/01/14 00:00:00+00,17007014.,-82.995954,42.361127,5,2170,,IROQUOIS,245302
-82.968724,42.444211,REG2020-00008,2020/03/18 00:00:00+00,21025228-9,-82.968724,42.444211,6,14910,,FAIRMOUNT,118783
-82.951523,42.446322,REG2020-00009,2020/01/14 00:00:00+00,21025956.,-82.951523,42.446322,7,16304,,BRINGARD,115486
-82.99239,42.442971,REG2020-00010,2020/01/14 00:00:00+00,21031715.,-82.99239,42.442971,8,19940,,WESTPHALIA,164283
-82.933391,42.366214,REG2020-00011,2020/01/14 00:00:00+00,21062638.,-82.933391,42.366214,9,368,,ALTER,339376
-82.962464,42.446587,REG2020-00012,2020/03/18 00:00:00+00,21026259.,-82.962464,42.446587,10,15449,,BRINGARD,110699
-82.949266,42.44951,REG2020-00013,2020/03/17 00:00:00+00,21027763.,-82.949266,42.44951,11,16501,,CARLISLE,100997
-82.947975,42.443703,REG2020-00014,2020/03/23 00:00:00+00,21024679.,-82.947975,42.443703,12,16626,,ROSSINI,123485
-82.949047,42.447724,REG2020-00015,2020/01/14 00:00:00+00,21026810-11,-82.949047,42.447724,13,16511,,EDMORE,108010
-82.956646,42.448941,REG2020-00016,2020/03/18 00:00:00+00,21027412.,-82.956646,42.448941,14,15900,,CARLISLE,102883
-83.026736,42.431261,REG2020-00017,2020/01/14 00:00:00+00,15004716.,-83.026736,42.431261,15,7533,,QUINN,265207
-83.241775,42.422533,REG2020-00018,2020/01/14 00:00:00+00,22100589.,-83.241775,42.422533,16,18163,,KENTFIELD,109492
-83.195387,42.390582,REG2020-00019,2020/01/14 00:00:00+00,22046819.,-83.195387,42.390582,17,14161,,SUSSEX,129015
-83.19945,42.384336,REG2020-00020,2020/01/14 00:00:00+00,22052456.,-83.19945,42.384336,18,12939,,WINTHROP,136277
-83.160525,42.376217,REG2020-00021,2020/01/14 00:00:00+00,18016706.,-83.160525,42.376217,19,11798,,ILENE,540908
-83.219939,42.404537,REG2020-00022,2020/01/14 00:00:00+00,22075587.,-83.219939,42.404537,20,15515,,ASHTON,122320
-83.227257,42.428601,REG2020-00023,2020/01/14 00:00:00+00,22083294.,-83.227257,42.428601,21,18726,,STAHELIN,117498
-83.246261,42.402454,REG2020-00024,2020/01/14 00:00:00+00,22106945.,-83.246261,42.402454,22,15401,,PIERSON,110844
-83.161523,42.351866,REG2020-00025,2020/01/14 00:00:00+00,18004875.,-83.161523,42.351866,23,10322,,TIREMAN,188982
-83.163507,42.411109,REG2020-00026,2020/04/06 00:00:00+00,16041604.,-83.163507,42.411109,24,16199,,GRIGGS,99929
-82.95541,42.423949,REG2020-00027,2020/01/14 00:00:00+00,21057942.,-82.95541,42.423949,25,11876,,LAING,296794
-83.208283,42.418201,REG2020-00028,2020/01/14 00:00:00+00,22060364.,-83.208283,42.418201,26,17337,,MURRAY HILL,62535
-82.926627,42.40439,REG2020-00029,2020/05/26 00:00:00+00,21002064.,-82.926627,42.40439,27,17190,,ONTARIO,332497
-83.113957,42.364143,REG2020-00030,2020/01/15 00:00:00+00,14006350.,-83.113957,42.364143,28,8417,,DEXTER,85660
-82.950838,42.43449,REG2020-00031,2020/01/15 00:00:00+00,21080067.,-82.950838,42.43449,29,18590,,MCCORMICK,304289
-82.940435,42.409123,REG2020-00032,2020/01/15 00:00:00+00,21072661.,-82.940435,42.409123,30,5737,,WHITTIER,324505
-83.078709,42.348955,REG2020-00033,2020/04/06 00:00:00+00,08006232.,-83.078709,42.348955,31,4535,,COMMONWEALTH,45604
-82.986467,42.369948,REG2020-00034,2020/01/15 00:00:00+00,19004326.,-82.986467,42.369948,32,2940,,HURLBUT,342313
-83.270332,42.427498,REG2020-00035,2020/01/15 00:00:00+00,22120587.,-83.270332,42.427498,33,18910,,GLENHURST,110255
-83.207163,42.434188,REG2020-00036,2020/01/15 00:00:00+00,22058789.,-83.207163,42.434188,34,19410,,ST MARYS,59954
-83.248386,42.410776,REG2020-00037,2020/01/15 00:00:00+00,22108561.,-83.248386,42.410776,35,16586,,TRINITY,119130
-83.283448,42.431819,REG2020-00038,2020/01/15 00:00:00+00,22123969.001,-83.283448,42.431819,36,19318,,WINSTON,127633
-83.026033,42.435002,REG2020-00039,2020/01/15 00:00:00+00,15005902-3,-83.026033,42.435002,37,19168,,SPENCER,253876
-83.1451,42.389981,REG2020-00040,2020/01/15 00:00:00+00,16025390.,-83.1451,42.389981,38,14030,,SAN JUAN,68926
-83.195087,42.358863,REG2020-00041,2020/01/15 00:00:00+00,22048271.,-83.195087,42.358863,39,8841,,WHITCOMB,197985
-83.081064,42.420023,REG2020-00042,2020/01/15 00:00:00+00,09015672.,-83.081064,42.420023,40,17206,,ST AUBIN,279962
